;Day;NDWI
290;13/01/2019;0,554640534
291;14/01/2019;0,491255374
292;15/01/2019;0,533359715
293;16/01/2019;0,49
294;17/01/2019;0,546364521
295;18/01/2019;0,5
296;19/01/2019;0,50356804
297;20/01/2019;0,485228184
298;21/01/2019;0,497563202
299;22/01/2019;0,500842004
300;23/01/2019;0,536036401
301;24/01/2019;0,553107335
302;25/01/2019;0,588191843
303;26/01/2019;0,567395502
304;27/01/2019;0,542865872
305;28/01/2019;0,53
306;29/01/2019;0,570483682
307;30/01/2019;0,553023526
308;31/01/2019;0,52
309;01/02/2019;0,444085292
310;02/02/2019;0,424448781
311;03/02/2019;0,483945919
312;04/02/2019;0,542294447
313;05/02/2019;0,481828809
314;06/02/2019;0,499126133
315;07/02/2019;0,51
316;08/02/2019;0,499293789
317;09/02/2019;0,491537323
318;10/02/2019;0,55
319;11/02/2019;0,493734865
320;12/02/2019;0,5
321;13/02/2019;0,445351136
322;14/02/2019;0,454924457
323;15/02/2019;0,48
324;16/02/2019;0,466186466
325;17/02/2019;0,49
326;18/02/2019;0,51442405
327;19/02/2019;0,477491596
328;20/02/2019;0,521157087
329;21/02/2019;0,472977104
330;22/02/2019;0,482582142
331;23/02/2019;0,415480216
332;24/02/2019;0,446277971
333;25/02/2019;0,48
334;26/02/2019;0,538177495
335;27/02/2019;0,5
336;28/02/2019;0,514120613
337;01/03/2019;0,487853241
338;02/03/2019;0,437961437
339;03/03/2019;0,539125185
340;04/03/2019;0,48
341;05/03/2019;0,364961852
342;06/03/2019;0,428960147
343;07/03/2019;0,44
344;08/03/2019;0,277652945
345;09/03/2019;0,47
346;10/03/2019;0,380749534
347;11/03/2019;0,241564975
348;12/03/2019;0,342562016
349;13/03/2019;0,375950385
350;14/03/2019;0,394456501
351;15/03/2019;0,425514854
352;16/03/2019;0,406602573
353;17/03/2019;0,4
354;18/03/2019;0,275876419
355;19/03/2019;0,413183571
356;20/03/2019;0,463921529
357;21/03/2019;0,406285301
358;22/03/2019;0,440260956
359;23/03/2019;0,364577465
360;24/03/2019;0,37
361;25/03/2019;0,390760765
362;26/03/2019;0,372741541
363;27/03/2019;0,383717926
364;28/03/2019;0,473643347
365;29/03/2019;0,46
366;30/03/2019;0,356565178
367;31/03/2019;0,398572171
368;01/04/2019;0,384326596
369;02/04/2019;0,377781137
370;03/04/2019;0,296195442
371;04/04/2019;0,255205644
372;05/04/2019;0,386060849
373;06/04/2019;0,29
374;07/04/2019;0,303266092
375;08/04/2019;0,269463181
376;09/04/2019;0,214144914
377;10/04/2019;0,254939697
378;11/04/2019;0,248715415
379;12/04/2019;0,308746698
380;13/04/2019;0,414834365
381;14/04/2019;0,309622839
382;15/04/2019;0,36341436
383;16/04/2019;0,354567242
384;17/04/2019;0,262808484
385;18/04/2019;0,28
386;19/04/2019;0,178262065
387;20/04/2019;0,16754369
388;21/04/2019;0,307292334
389;22/04/2019;0,253691172
390;23/04/2019;0,13
391;24/04/2019;0,104288549
392;25/04/2019;0,103562162
393;26/04/2019;0,13
394;27/04/2019;0,168432633
395;28/04/2019;0,14
396;29/04/2019;0,227421393
397;30/04/2019;0,259010316
398;01/05/2019;0,13
399;02/05/2019;0,125727225
400;03/05/2019;0,435322866
401;04/05/2019;0,398373084
402;05/05/2019;0,271892871
403;06/05/2019;0,343891747
404;07/05/2019;0,199599289
405;08/05/2019;0,05
406;09/05/2019;0,151858163
407;10/05/2019;0,101336365
408;11/05/2019;0,09
409;12/05/2019;0,220295553
410;13/05/2019;0,278543205
411;14/05/2019;0,323776501
412;15/05/2019;0,278790161
413;16/05/2019;0,231724291
414;17/05/2019;0,094562802
415;18/05/2019;0,169983964
416;19/05/2019;0,093367759
417;20/05/2019;0,142362426
418;21/05/2019;0,076170045
419;22/05/2019;0,074592603
420;23/05/2019;0,096865103
421;24/05/2019;0,077465452
422;25/05/2019;0,225636157
423;26/05/2019;0,222476791
424;27/05/2019;0,164746729
425;28/05/2019;0,193386747
426;29/05/2019;0,313601082
427;30/05/2019;0,094294401
428;31/05/2019;0,070642764
429;01/06/2019;0,071433683
430;02/06/2019;0,121764672
431;03/06/2019;0,065124349
432;04/06/2019;0,067108672
433;05/06/2019;0,078823953
434;06/06/2019;0,141833134
435;07/06/2019;0,070722036
436;08/06/2019;0,084148962
437;09/06/2019;0,102075987
438;10/06/2019;0,07
439;11/06/2019;0,073189306
440;12/06/2019;0,05
441;13/06/2019;0,116432394
442;14/06/2019;0,064425743
443;15/06/2019;0,05
444;16/06/2019;0,122765221
445;17/06/2019;0,08
446;18/06/2019;0,112918703
447;19/06/2019;0,099865378
448;20/06/2019;0,1
449;21/06/2019;0,130740532
450;22/06/2019;0,076421118
451;23/06/2019;0,056558114
452;24/06/2019;0,106217119
453;25/06/2019;0,08
454;26/06/2019;0,094888826
455;27/06/2019;0,07
456;28/06/2019;0,104347962
457;29/06/2019;0,112150616
458;30/06/2019;0,14
459;01/07/2019;0,103745196
460;02/07/2019;0,11
461;03/07/2019;0,11876995
462;04/07/2019;0,115048484
463;05/07/2019;0,1
464;06/07/2019;0,104309413
465;07/07/2019;0,11
466;08/07/2019;0,095305522
467;09/07/2019;0,079953142
468;10/07/2019;0,108049862
469;11/07/2019;0,085689986
470;12/07/2019;0,11
471;13/07/2019;0,073036975
472;14/07/2019;0,094482557
473;15/07/2019;0,154526459
474;16/07/2019;0,129622345
475;17/07/2019;0,064984475
476;18/07/2019;0,037342898
477;19/07/2019;0,059995963
478;20/07/2019;0,088270229
479;21/07/2019;0,070422327
480;22/07/2019;0,076766939
481;23/07/2019;0,049604031
482;24/07/2019;0,06730218
483;25/07/2019;0,058247766
484;26/07/2019;0,05313724
485;27/07/2019;0,088132443
486;28/07/2019;0,142846126
487;29/07/2019;0,06281278
488;30/07/2019;0,06
489;31/07/2019;0,062504428
490;01/08/2019;0,03
491;02/08/2019;0,046677082
492;03/08/2019;0,068774929
493;04/08/2019;0,05
494;05/08/2019;0,055590777
495;06/08/2019;0,03
496;07/08/2019;0,058123897
497;08/08/2019;0,083683027
498;09/08/2019;0,06
499;10/08/2019;0,050814658
500;11/08/2019;0,05
501;12/08/2019;0,076655828
502;13/08/2019;0,04178838
503;14/08/2019;0,05
504;15/08/2019;0,065471812
505;16/08/2019;0,05
506;17/08/2019;0,078895448
507;18/08/2019;0,082107589
508;19/08/2019;0,07
509;20/08/2019;0,045376917
510;21/08/2019;0,06
511;22/08/2019;0,035324478
512;23/08/2019;0,085143845
513;24/08/2019;0,04
514;25/08/2019;0,057728393
515;26/08/2019;0,03
516;27/08/2019;0,044751321
517;28/08/2019;0,060583258
518;29/08/2019;0,11605691
519;30/08/2019;0,074774174
520;31/08/2019;0,060397241
521;01/09/2019;0,07870413
522;02/09/2019;0,054840878
523;03/09/2019;0,083170693
524;04/09/2019;0,091747403
525;05/09/2019;0,160172529
526;06/09/2019;0,171695453
527;07/09/2019;0,112461975
528;08/09/2019;0,11
529;09/09/2019;0,167767589
530;10/09/2019;0,194281663
531;11/09/2019;0,159786269
532;12/09/2019;0,172209785
533;13/09/2019;0,18
534;14/09/2019;0,108939364
535;15/09/2019;0,19
536;16/09/2019;0,171326595
537;17/09/2019;0,175483055
538;18/09/2019;0,2
539;19/09/2019;0,20241146
